pos_x,pos_y
-163.49069213867188,-17.607229232788086
-161.979248046875,-17.85707664489746
-160.47860717773438,-18.109573364257812
-158.989013671875,-18.365236282348633
-157.50979614257812,-18.624235153198242
-156.0059356689453,-18.896209716796875
-154.5143585205078,-19.177034378051758
-153.03562927246094,-19.472362518310547
-151.53826904296875,-19.80274772644043
-150.06002807617188,-20.167930603027344
-148.60252380371094,-20.572589874267578
-147.1685791015625,-21.020296096801758
-145.7264404296875,-21.522876739501953
-144.31143188476562,-22.06959342956543
-142.9247283935547,-22.659332275390625
-141.5357208251953,-23.304162979125977
-140.18072509765625,-23.99453353881836
-138.8600311279297,-24.729625701904297
-137.58241271972656,-25.516860961914062
-136.32269287109375,-26.37393569946289
-135.1151580810547,-27.286224365234375
-133.9642333984375,-28.253114700317383
-132.8495635986328,-29.293912887573242
-131.80108642578125,-30.386686325073242
-130.82290649414062,-31.5291748046875
-129.8951416015625,-32.73947525024414
-129.030029296875,-33.98362350463867
-128.2292938232422,-35.25808334350586
-127.47967529296875,-36.58787536621094
-126.79646301269531,-37.942325592041016
-126.18354034423828,-39.319847106933594
-125.63672637939453,-40.716880798339844
-125.1538314819336,-42.162044525146484
-124.7451171875,-43.623863220214844
-124.4183578491211,-45.100589752197266
-124.16710662841797,-46.5886344909668
-123.9966812133789,-48.0811767578125
-123.90509796142578,-49.60355758666992
-123.89315795898438,-51.119937896728516
-123.96148681640625,-52.6229362487793
-124.10733032226562,-54.13740539550781
-124.33074188232422,-55.62814712524414
-124.63668060302734,-57.117652893066406
-125.01782989501953,-58.57318878173828
-125.4793472290039,-60.017730712890625
-126.01309967041016,-61.41973876953125
-126.62693786621094,-62.80150604248047
-127.31584167480469,-64.15994262695312
-128.06295776367188,-65.46949005126953
-128.86463928222656,-66.7412109375
-129.72328186035156,-67.98571014404297
-130.6287841796875,-69.18798065185547
-131.5789337158203,-70.36164093017578
-132.58067321777344,-71.50965118408203
-133.6118927001953,-72.60726165771484
-134.68727111816406,-73.67631530761719
-135.80426025390625,-74.71451568603516
-136.9580535888672,-75.7187271118164
-138.12159729003906,-76.66783905029297
-139.31207275390625,-77.58113861083984
-140.55223083496094,-78.47856903076172
-141.81324768066406,-79.33894348144531
-143.09097290039062,-80.15766143798828
-144.3828582763672,-80.9361801147461
-145.71624755859375,-81.69564056396484
-147.0560760498047,-82.41575622558594
-148.40086364746094,-83.10008239746094
-149.78073120117188,-83.7602767944336
-151.15902709960938,-84.38309478759766
-152.57086181640625,-84.98614501953125
-153.97796630859375,-85.5510482788086
-155.41668701171875,-86.09440612792969
-156.84512329101562,-86.5988998413086
-158.30413818359375,-87.08120727539062
-159.74920654296875,-87.52632904052734
-161.2197723388672,-87.94754791259766
-162.67095947265625,-88.3341293334961
-164.14353942871094,-88.70039367675781
-165.6345977783203,-89.04280853271484
-167.14453125,-89.36172485351562
-168.62655639648438,-89.64665222167969
-170.12249755859375,-89.9081802368164
-171.6248779296875,-90.14317321777344
-173.12939453125,-90.35317993164062
-174.6342315673828,-90.53813934326172
-176.13580322265625,-90.70060729980469
-177.63327026367188,-90.84490203857422
-179.1669464111328,-90.9750747680664
-180.69126892089844,-91.09060668945312
-182.20545959472656,-91.19099426269531
-183.7054901123047,-91.2812728881836
-185.23294067382812,-91.36809539794922
-186.7402801513672,-91.44849395751953
-188.26898193359375,-91.52946472167969
-189.77772521972656,-91.609619140625
-191.30712890625,-91.69324493408203
-192.81439208984375,-91.78083801269531
-194.33920288085938,-91.8778305053711
-195.84329223632812,-91.98728942871094
-197.3610382080078,-92.11060333251953
-198.86183166503906,-92.25177764892578
-200.38357543945312,-92.41497039794922
-201.88970947265625,-92.60086059570312
-203.37872314453125,-92.81204223632812
-204.88966369628906,-93.05235290527344
-206.39358520507812,-93.31723022460938
-207.89027404785156,-93.60258483886719
-209.38160705566406,-93.91043853759766
-210.86895751953125,-94.23983764648438
-212.35072326660156,-94.59087371826172
-213.82733154296875,-94.96583557128906
-215.2998046875,-95.36554718017578
-216.76461791992188,-95.7903823852539
-218.22518920898438,-96.2417984008789
-219.67984008789062,-96.71965789794922
-221.1292724609375,-97.22330474853516
-222.53868103027344,-97.7411117553711
-223.94076538085938,-98.28701782226562
-225.33494567871094,-98.86233520507812
-226.7211151123047,-99.46803283691406
-228.10060119628906,-100.10401916503906
-229.47454833984375,-100.76948547363281
-230.843994140625,-101.46260833740234
-232.17529296875,-102.16546630859375
-233.50111389160156,-102.89517211914062
-234.82090759277344,-103.65382385253906
-236.13339233398438,-104.44293975830078
-237.40382385253906,-105.24271392822266
-238.6649932861328,-106.0728759765625
-239.91612243652344,-106.93472290039062
-241.1554718017578,-107.82799530029297
-242.38400268554688,-108.75369262695312
-243.5686798095703,-109.68680572509766
-244.73995971679688,-110.6512222290039
-245.89552307128906,-111.64722442626953
-247.03305053710938,-112.67446899414062
-248.1513671875,-113.7317886352539
-249.218994140625,-114.79095458984375
-250.26080322265625,-115.87760925292969
-251.2712860107422,-116.98820495605469
-252.2769012451172,-118.15071868896484
-253.25355529785156,-119.33638763427734
-254.20013427734375,-120.54533386230469
-255.11427307128906,-121.77620697021484
-255.99644470214844,-123.0269546508789
-256.8475646972656,-124.29459381103516
-257.6662902832031,-125.57775115966797
-258.4542541503906,-126.87664031982422
-259.20989990234375,-128.1906280517578
-259.9317626953125,-129.51901245117188
-260.6195983886719,-130.8592071533203
-261.2774353027344,-132.21189880371094
-261.90625,-133.57559204101562
-262.5216064453125,-134.9861602783203
-263.1048889160156,-136.4075164794922
-263.6539306640625,-137.8405303955078
-264.16754150390625,-139.2841796875
-264.6441345214844,-140.73907470703125
-265.0823974609375,-142.20570373535156
-265.48211669921875,-143.68348693847656
-265.8423767089844,-145.1721649169922
-266.1583557128906,-146.6702423095703
-266.4325866699219,-148.17738342285156
-266.6638488769531,-149.69203186035156
-266.8541259765625,-151.21421813964844
-267.0038757324219,-152.7412872314453
-267.1159362792969,-154.27462768554688
-267.1898193359375,-155.8106689453125
-267.227783203125,-157.31060791015625
-267.2333984375,-158.81289672851562
-267.2103576660156,-160.31634521484375
-267.1599426269531,-161.8212432861328
-267.0831604003906,-163.32786560058594
-266.98046875,-164.8357696533203
-266.8507080078125,-166.34449768066406
-266.6914978027344,-167.8535614013672
-266.5035400390625,-169.3618927001953
-266.28680419921875,-170.8692626953125
-266.0414123535156,-172.37445068359375
-265.76654052734375,-173.87759399414062
-265.46380615234375,-175.37965393066406
-265.13262939453125,-176.87673950195312
-264.7752990722656,-178.37132263183594
-264.390380859375,-179.86093139648438
-263.9901123046875,-181.30718994140625
-263.5624694824219,-182.74752807617188
-263.10772705078125,-184.1817169189453
-262.6257629394531,-185.60903930664062
-262.1169128417969,-187.02798461914062
-261.5806579589844,-188.43856811523438
-261.016357421875,-189.83956909179688
-260.4250793457031,-191.23231506347656
-259.8075866699219,-192.61741638183594
-259.16485595703125,-193.99508666992188
-258.4967041015625,-195.36521911621094
-257.8019714355469,-196.72433471679688
-257.0802307128906,-198.07244873046875
-256.33087158203125,-199.4060821533203
-255.5545196533203,-200.72706604003906
-254.7513427734375,-202.03436279296875
-253.9234619140625,-203.32705688476562
-253.071044921875,-204.60662841796875
-252.195556640625,-205.87429809570312
-251.32073974609375,-207.09678649902344
-250.4244384765625,-208.3076629638672
-249.50735473632812,-209.5081329345703
-248.5708770751953,-210.6986541748047
-247.61448669433594,-211.87850952148438
-246.63734436035156,-213.04649353027344
-245.639404296875,-214.2022705078125
-244.62069702148438,-215.34445190429688
-243.58180236816406,-216.47369384765625
-242.5247802734375,-217.58937072753906
-241.45162963867188,-218.6944122314453
-240.39361572265625,-219.7581787109375
-239.3215789794922,-220.81410217285156
-238.23709106445312,-221.86090087890625
-237.13973999023438,-222.90017700195312
-236.0316162109375,-223.93125915527344
-234.91180419921875,-224.95590209960938
-233.7801055908203,-225.9728546142578
-232.63722229003906,-226.9822540283203
-231.48318481445312,-227.9833221435547
-230.3176727294922,-228.97698974609375
-229.14035034179688,-229.96197509765625
-227.9512481689453,-230.93743896484375
-226.74917602539062,-231.90414428710938
-225.53775024414062,-232.85963439941406
-224.348876953125,-233.7798309326172
-223.15052795410156,-234.6904296875
-221.9418487548828,-235.5941925048828
-220.72434997558594,-236.48995971679688
-219.4996337890625,-237.3772735595703
-218.26658630371094,-238.25491333007812
-217.0288848876953,-239.12486267089844
-215.78759765625,-239.9853057861328
-214.5443115234375,-240.8363037109375
-213.2667694091797,-241.70318603515625
-211.9944305419922,-242.5590057373047
-210.72628784179688,-243.40431213378906
-209.4624481201172,-244.23890686035156
-208.2020263671875,-245.06370544433594
-206.91104125976562,-245.90017700195312
-205.62350463867188,-246.727783203125
-204.34072875976562,-247.54327392578125
-203.06214904785156,-248.34922790527344
-201.78726196289062,-249.14439392089844
-200.48147583007812,-249.95143127441406
-199.1797637939453,-250.7473907470703
-197.88153076171875,-251.53073120117188
-196.5866241455078,-252.30276489257812
-195.26104736328125,-253.08450317382812
-193.94036865234375,-253.85592651367188
-192.6248016357422,-254.61798095703125
-191.31430053710938,-255.37026977539062
-190.0091552734375,-256.11322021484375
-188.6752471923828,-256.8663330078125
-187.3472442626953,-257.61016845703125
-186.0247344970703,-258.34466552734375
-184.70852661132812,-259.0707702636719
-183.3653106689453,-259.8074951171875
-182.02894592285156,-260.53656005859375
-180.69976806640625,-261.2574462890625
-179.37728881835938,-261.970947265625
-178.02914428710938,-262.6941833496094
-176.6880645751953,-263.4089660644531
