left_border_x,left_border_y,right_border_x,right_border_y,pos_x,pos_y
-832.7865338311095,-385.31253189635953,-841.2840492742262,-372.60047712064437,-834.7587890625,-382.3620910644531
-834.0595082191078,-386.1083557450143,-842.5562264418843,-373.39810102651666,-836.00634765625,-383.1960754394531
-835.4689303704824,-386.99498506637406,-843.9670101765182,-374.2823511315251,-837.3900756835938,-384.1210632324219
-836.8592760739673,-387.86612260134746,-845.3574444342767,-375.1504670558588,-838.7532958984375,-385.0321350097656
-838.2264197893331,-388.7261621272166,-846.7239211737395,-376.0078176462777,-840.0953979492188,-385.9288330078125
-839.5723373703595,-389.56932139796606,-848.0685488793641,-376.84751046017806,-841.4150390625,-386.8101501464844
-840.8925263223472,-390.4001527399158,-849.3881321562443,-377.6754646943769,-842.7114868164062,-387.67572021484375
-842.1922202464814,-391.2143326831556,-850.686560263425,-378.4860793502647,-843.986083984375,-388.5263366699219
-843.4686465786723,-392.017698821676,-851.9604401334477,-379.2855878545292,-845.2396240234375,-389.3623962402344
-844.863368630305,-392.89087491943246,-853.3517443959083,-380.1533376688613,-846.6073608398438,-390.27386474609375
-846.2283299122934,-393.7511792472696,-854.7146326048771,-381.0081021389715,-847.9490356445312,-391.1673583984375
-847.5708421312917,-394.5918811663489,-856.0496662418327,-381.845438371403,-849.2660522460938,-392.0434265136719
-848.8888884946626,-395.41622315879874,-857.3632608726004,-382.6643390983323,-850.5592041015625,-392.9028015136719
-850.1804136703196,-396.23039237327146,-858.6503432122804,-383.4717085674908,-851.82958984375,-393.74615478515625
-851.5758381262267,-397.10449705879415,-860.0412980501955,-384.33922926047006,-853.2001953125,-394.65509033203125
-852.9408983838205,-397.9665771722473,-861.4018246854187,-385.19342002906694,-854.5445556640625,-395.54559326171875
-854.2809731305755,-398.80681398467806,-862.737585033592,-386.0267233529342,-855.862060546875,-396.4173889160156
-855.591447619108,-399.6355163646214,-864.0409508400121,-386.8459847218082,-857.1537475585938,-397.270751953125
-856.8795592439159,-400.44373450405476,-865.3217497299471,-387.64484115913996,-858.4210815429688,-398.106689453125
-858.2512209461797,-401.311574426231,-866.6868428328404,-388.5030813869864,-859.7747802734375,-398.99822998046875
-859.6018220310439,-402.1590168823446,-868.0282474489719,-389.3467121260001,-861.1051635742188,-399.8731994628906
-860.9323124881133,-402.99385744919937,-869.3526028631128,-390.17211947901694,-862.416259765625,-400.7342224121094
-862.2326384935111,-403.81539782475596,-870.6502989971997,-390.9879933454281,-863.7012329101562,-401.57745361328125
-863.5119581850871,-404.61801737943114,-871.926718859054,-391.7838777871338,-864.9630737304688,-402.40478515625
-864.8714506910652,-405.4771741896109,-873.2837993230789,-392.63756512408287,-866.307373046875,-403.2855529785156
-866.2112893794447,-406.3167304743713,-874.6200160179395,-393.4703531519538,-867.6290893554688,-404.15069580078125
-867.5255113760927,-407.1495499155826,-875.9324201151683,-394.29621605095605,-868.9302978515625,-405.00177001953125
-868.8211197562524,-407.9639493025216,-877.2275588735847,-395.10271374736897,-870.2103881835938,-405.8384704589844
-870.096056108483,-408.7724085519264,-878.5002218597696,-395.9040544226535,-871.4734497070312,-406.6633605957031
-871.4619063171305,-409.6303378205698,-879.8631429053776,-396.7516839026302,-872.8230590820312,-407.54376220703125
-872.7999955083618,-410.4702724946567,-881.1950905268468,-397.589312371407,-874.1455688476562,-408.40570068359375
-874.1088716110836,-411.2994153016838,-882.5048069530468,-398.4036857237685,-875.4429321289062,-409.2503662109375
-875.3913964050244,-412.11398699911064,-883.7888401511659,-399.21192554693573,-876.7159423828125,-410.07891845703125
-876.743233124569,-412.9611585834634,-885.1383262616199,-400.05116389800736,-878.0523681640625,-410.9479675292969
-878.0619849568271,-413.7986226629055,-886.4555510747139,-400.8804868567451,-879.3615112304688,-411.798583984375
-879.3576376679022,-414.61023626211016,-887.748211581344,-401.6837094089283,-880.642822265625,-412.6302795410156
-880.703019120035,-415.46425847327004,-889.0960424784554,-402.5314248305881,-881.9793090820312,-413.49761962890625
-882.0269965365633,-416.2932172890943,-890.4176914222131,-403.3535175728773,-883.2890625,-414.346923828125
-883.3275787025851,-417.11975624076103,-891.7179614493283,-404.172725324478,-884.5816650390625,-415.1846008300781
